P_ann_tot_m,Temp_ann_avg_m
0.7,-2
0.8,-2
0.9,-2
1,-2
1.1,-2
1.2,-2
1.3,-2
0.7,-1.33333333333333
0.8,-1.33333333333333
0.9,-1.33333333333333
1,-1.33333333333333
1.1,-1.33333333333333
1.2,-1.33333333333333
1.3,-1.33333333333333
0.7,-0.666666666666667
0.8,-0.666666666666667
0.9,-0.666666666666667
1,-0.666666666666667
1.1,-0.666666666666667
1.2,-0.666666666666667
1.3,-0.666666666666667
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
0.7,0.666666666666667
0.8,0.666666666666667
0.9,0.666666666666667
1,0.666666666666667
1.1,0.666666666666667
1.2,0.666666666666667
1.3,0.666666666666667
0.7,1.33333333333333
0.8,1.33333333333333
0.9,1.33333333333333
1,1.33333333333333
1.1,1.33333333333333
1.2,1.33333333333333
1.3,1.33333333333333
0.7,2
0.8,2
0.9,2
1,2
1.1,2
1.2,2
1.3,2
