rainTS,roofFlow,inflow,tankInflow,tankSpill,tankVolSim,demand,supply
12.8,640,640,32.1700000000001,607.83,3000,32.17,32.17
2.2,110,110,32.1700000000001,77.8299999999999,3000,32.17,32.17
15.7,785,785,10,775,3000,10,10
11.3,565,565,10,555,3000,10,10
0,0,0,0,0,2990,10,10
2,100,50,20,30,3000,10,10
1.2,60,60,10,50,3000,10,10
0,0,0,0,0,2990,10,10
1,50,0,0,0,2980,10,10
0,0,0,0,0,2970,10,10
0.1,5,0,0,0,2960,10,10
0,0,0,0,0,2950,10,10
6.1,305,255,60,195,3000,10,10
0,0,0,0,0,2990,10,10
0,0,0,0,0,2980,10,10
0,0,0,0,0,2970,10,10
0,0,0,0,0,2960,10,10
0.1,5,0,0,0,2950,10,10
0,0,0,0,0,2940,10,10
0,0,0,0,0,2930,10,10
1.2,60,10,10,0,2930,10,10
0.3,15,15,15,0,2935,10,10
4.8,240,240,75,165,3000,10,10
0,0,0,0,0,2990,10,10
0,0,0,0,0,2980,10,10
0,0,0,0,0,2970,10,10
0,0,0,0,0,2960,10,10
3.8,190,140,50,90,3000,10,10
0,0,0,0,0,2990,10,10
0.5,25,0,0,0,2980,10,10
0.7,35,10,10,0,2980,10,10
0.3,15,15,15,0,2985,10,10
2.4,120,120,25.739,94.261,3000,10.739,10.739
0.4,20,20,10.739,9.26099999999997,3000,10.739,10.739
2,100,100,10.739,89.261,3000,10.739,10.739
1,50,50,10.739,39.261,3000,10.739,10.739
4.4,220,220,10.739,209.261,3000,10.739,10.739
2.8,140,140,10.739,129.261,3000,10.739,10.739
6.6,330,330,10.739,319.261,3000,10.739,10.739
3.6,180,180,10.5542500000001,169.44575,3000,10.55425,10.55425
0.1,5,5,5,0,2994.44575,10.55425,10.55425
0,0,0,0,0,2983.8915,10.55425,10.55425
0.3,15,0,0,0,2973.33725,10.55425,10.55425
0.3,15,0,0,0,2962.783,10.55425,10.55425
0.7,35,15,15,0,2967.22875,10.55425,10.55425
0.1,5,5,5,0,2961.6745,10.55425,10.55425
0,0,0,0,0,2951.12025,10.55425,10.55425
0,0,0,0,0,2940.566,10.55425,10.55425
7.2,360,310,69.9882500000012,240.011749999999,3000,10.55425,10.55425
2.2,110,110,10.5542500000001,99.4457499999999,3000,10.55425,10.55425
0,0,0,0,0,2989.44575,10.55425,10.55425
0,0,0,0,0,2978.8915,10.55425,10.55425
0,0,0,0,0,2968.1525,10.739,10.739
0,0,0,0,0,2957.59825,10.55425,10.55425
0,0,0,0,0,2946.85925,10.739,10.739
0,0,0,0,0,2936.12025,10.739,10.739
0,0,0,0,0,2925.38125,10.739,10.739
0,0,0,0,0,2914.64225,10.739,10.739
0.9,45,0,0,0,2903.90325,10.739,10.739
2.6,130,125,106.835750000001,18.1642499999994,3000,10.739,10.739
8.1,405,405,10.739,394.261,3000,10.739,10.739
0,0,0,0,0,2989.261,10.739,10.739
0.1,5,0,0,0,2978.522,10.739,10.739
0.4,20,0,0,0,2963.349,15.173,15.173
0.1,5,0,0,0,2948.176,15.173,15.173
3.3,165,145,65.7037499999997,79.2962500000003,3000,13.87975,13.87975
2.4,120,120,15.1729999999998,104.827,3000,15.173,15.173
1.9,95,95,15.1729999999998,79.8270000000002,3000,15.173,15.173
0.4,20,20,15.1729999999998,4.82700000000023,3000,15.173,15.173
0,0,0,0,0,2984.827,15.173,15.173
1.1,55,5.00000000000001,5.00000000000001,0,2974.654,15.173,15.173
0,0,0,0,0,2959.481,15.173,15.173
0,0,0,0,0,2944.308,15.173,15.173
0,0,0,0,0,2929.135,15.173,15.173
0.3,15,0,0,0,2913.962,15.173,15.173
0,0,0,0,0,2900.08225,13.87975,13.87975
0,0,0,0,0,2886.2025,13.87975,13.87975
0,0,0,0,0,2871.0295,15.173,15.173
0,0,0,0,0,2855.8565,15.173,15.173
2.2,110,60,60,0,2900.6835,15.173,15.173
0,0,0,0,0,2885.5105,15.173,15.173
0.1,5,0,0,0,2871.63075,13.87975,13.87975
0,0,0,0,0,2857.751,13.87975,13.87975
0,0,0,0,0,2842.578,15.173,15.173
0,0,0,0,0,2827.405,15.173,15.173
0,0,0,0,0,2812.232,15.173,15.173
0,0,0,0,0,2797.059,15.173,15.173
0,0,0,0,0,2781.886,15.173,15.173
0,0,0,0,0,2766.713,15.173,15.173
0,0,0,0,0,2751.54,15.173,15.173
0,0,0,0,0,2736.367,15.173,15.173
0,0,0,0,0,2721.194,15.173,15.173
0,0,0,0,0,2706.021,15.173,15.173
2.2,110,60,60,0,2750.848,15.173,15.173
0,0,0,0,0,2730.502,20.346,20.346
0,0,0,0,0,2710.156,20.346,20.346
0,0,0,0,0,2689.81,20.346,20.346
0,0,0,0,0,2669.464,20.346,20.346
0,0,0,0,0,2649.118,20.346,20.346
0,0,0,0,0,2628.772,20.346,20.346
0.2,10,0,0,0,2608.426,20.346,20.346
0,0,0,0,0,2588.08,20.346,20.346
0,0,0,0,0,2567.734,20.346,20.346
